"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71222","Verify that selecting a color in the dropdown filters, the records displayed in the grid correctly ""Mark as SSLP"" Tab for Mitchell Subaru","chromium","Fri Aug 08 15:27:43 IST 2025","passed","Fri Aug 08 15:28:54 IST 2025","","Retailer: Mitchell Subaru","",""
"","52711","Verify  the breadcrumb in ""On Lot"" Tab for Secor Subaru","chromium","Fri Aug 08 14:22:55 IST 2025","passed","Fri Aug 08 14:23:48 IST 2025","","Retailer: Secor Subaru","",""
"","102890","Verify VIN Key popup ""On Lot"" Tab for Secor Subaru","chromium","Fri Aug 08 18:57:12 IST 2025","broken","Fri Aug 08 18:58:55 IST 2025","","Retailer: Secor Subaru","",""
"","32586","Verify that the trim options displayed are relevant to the selected car model ""Buy a Demo"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 15:34:58 IST 2025","failed","Fri Aug 08 15:35:31 IST 2025","","Retailer: Subaru of Wakefield","",""
"","103449","Verify that on selecting multiple trims, correctly filters and displays the matching records in the grid. ""Mark as SSLP"" Tab for Mitchell Subaru","chromium","Fri Aug 08 17:48:37 IST 2025","broken","Fri Aug 08 17:50:21 IST 2025","","Retailer: Mitchell Subaru","",""
"","32120","Verify the UI when large stock / Comment is added ""Total Vehicles"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 15:44:19 IST 2025","failed","Fri Aug 08 15:44:51 IST 2025","","Retailer: Subaru of Wakefield","",""
"","63590","Verify that the ""Search the grid"" function displays results even when filters are applied ""Mark as SSLP"" Tab for Patrick Subaru","chromium","Fri Aug 08 16:39:49 IST 2025","passed","Fri Aug 08 16:40:53 IST 2025","","Retailer: Patrick Subaru","",""
"","27434","Verify the Pagination functionality with filters and sort applied for rememberence. ""Total Vehicles"" Tab for Burlington Subaru","chromium","Fri Aug 08 18:36:25 IST 2025","failed","Fri Aug 08 18:36:53 IST 2025","","Retailer: Burlington Subaru","",""
"","45881","Verify the Search Box functionality in ""On Lot"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 14:50:40 IST 2025","passed","Fri Aug 08 14:51:26 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","61888","Verify filters applied are removed when user clicks on ""Clear Filters"".""In Transit"" Tab for Mitchell Subaru","chromium","Fri Aug 08 17:05:48 IST 2025","passed","Fri Aug 08 17:06:50 IST 2025","","Retailer: Mitchell Subaru","",""
"","30646","Verify the vehicle icons displayed. ""Total Vehicles"" Tab for Burlington Subaru","chromium","Fri Aug 08 18:45:09 IST 2025","failed","Fri Aug 08 18:45:40 IST 2025","","Retailer: Burlington Subaru","",""
"","43814","Verify the Exported file with all formats when filters and sort were applied..""On Lot"" Tab for Secor Subaru","chromium","Fri Aug 08 17:20:04 IST 2025","failed","Fri Aug 08 17:20:48 IST 2025","","Retailer: Secor Subaru","",""
"","54059","Verify the Search Box functionality in ""On Order"" Tab for Center Subaru","chromium","Fri Aug 08 14:47:16 IST 2025","passed","Fri Aug 08 14:48:10 IST 2025","","Retailer: Center Subaru","",""
"","103667","Verify the Pagination functionality with filters and sort applied for rememberence. ""On Order"" Tab for Secor Subaru","chromium","Fri Aug 08 18:36:55 IST 2025","broken","Fri Aug 08 18:38:39 IST 2025","","Retailer: Secor Subaru","",""
